Region,Product,Sales,Profit,Profit Margin
North,A,386,69.49,0.18002590673575128
East,A,242,96.11,0.3971487603305785
North,B,421,151.11,0.3589311163895487
West,B,490,49.71,0.10144897959183674
North,C,487,55.25,0.11344969199178645
East,B,349,75.79,0.21716332378223496
East,C,157,25.82,0.16445859872611465
North,B,105,35.57,0.33876190476190476
South,A,176,33.54,0.1905681818181818
West,A,311,36.99,0.11893890675241159
South,A,168,60.9,0.3625
West,C,159,67.52,0.42465408805031446
West,B,121,14.4,0.11900826446280992
East,A,491,182.9,0.37250509164969453
North,A,464,137.49,0.2963146551724138
South,C,152,31.64,0.2081578947368421
East,A,377,154.39,0.40952254641909813
South,A,196,69.81,0.3561734693877551
North,A,386,63.78,0.16523316062176166
East,C,157,40.57,0.2584076433121019
South,B,67,18.27,0.2726865671641791
South,A,444,83.17,0.18731981981981982
South,B,54,25.66,0.4751851851851852
South,B,219,36.22,0.16538812785388127
East,C,342,67.6,0.1976608187134503
West,A,193,90.37,0.46823834196891195
North,A,413,46.05,0.11150121065375301
East,A,285,129.73,0.4551929824561403
East,B,133,46.8,0.3518796992481203
East,C,396,123.0,0.3106060606060606
East,B,277,121.04,0.43696750902527076
North,C,429,121.51,0.28324009324009325
East,B,155,32.62,0.21045161290322578
East,B,473,204.27,0.43186046511627907
East,C,472,177.9,0.376906779661017
East,C,431,196.2,0.45522041763341065
North,A,344,73.39,0.21334302325581395
East,A,97,35.19,0.36278350515463914
West,A,152,51.54,0.33907894736842104
North,A,150,38.99,0.25993333333333335
West,A,260,83.14,0.31976923076923075
North,B,187,34.85,0.18636363636363637
South,B,70,20.12,0.2874285714285714
West,B,147,20.09,0.13666666666666666
South,B,310,128.63,0.41493548387096774
East,C,82,18.69,0.2279268292682927
South,A,66,8.81,0.13348484848484848
North,A,139,28.72,0.2066187050359712
West,B,383,62.66,0.16360313315926892
South,A,359,81.22,0.22623955431754875
South,A,391,140.23,0.35864450127877234
East,B,150,15.66,0.1044
South,C,280,130.7,0.46678571428571425
North,B,165,40.42,0.24496969696969698
East,A,208,63.6,0.3057692307692308
East,A,134,48.27,0.36022388059701493
South,C,53,15.64,0.29509433962264153
North,A,299,45.52,0.1522408026755853
South,C,81,33.33,0.41148148148148145
