Region,Product,Sales,Profit
North,A,386,69.49
East,A,242,96.11
North,B,421,151.11
West,B,490,49.71
North,C,487,55.25
East,B,349,75.79
East,C,157,25.82
North,B,105,35.57
South,A,176,33.54
West,A,311,36.99
South,A,168,60.9
West,C,159,67.52
West,B,121,14.4
East,A,491,182.9
North,A,464,137.49
South,C,152,31.64
East,A,377,154.39
South,A,196,69.81
North,A,386,63.78
East,C,157,40.57
South,B,67,18.27
South,A,444,83.17
South,B,54,25.66
South,B,219,36.22
East,C,342,67.6
West,A,193,90.37
North,A,413,46.05
East,A,285,129.73
East,B,133,46.8
East,C,396,123.0
East,B,277,121.04
North,C,429,121.51
East,B,155,32.62
East,B,473,204.27
East,C,472,177.9
East,C,431,196.2
North,A,344,73.39
East,A,97,35.19
West,A,152,51.54
North,A,150,38.99
West,A,260,83.14
North,B,187,34.85
South,B,70,20.12
West,B,147,20.09
South,B,310,128.63
East,C,82,18.69
South,A,66,8.81
North,A,139,28.72
West,B,383,62.66
South,A,359,81.22
South,A,391,140.23
East,B,150,15.66
South,C,280,130.7
North,B,165,40.42
East,A,208,63.6
East,A,134,48.27
South,C,53,15.64
North,A,299,45.52
South,C,81,33.33
West,A,408,203.8
East,C,465,93.2
South,B,452,75.93
East,B,248,83.4
South,B,341,118.15
West,B,128,34.7
West,A,299,53.85
North,C,468,132.95
South,A,474,236.01
North,C,433,167.62
North,B,487,93.25
East,B,466,117.69
East,C,329,46.01
West,B,161,66.04
West,A,398,82.21
West,A,390,142.19
North,C,323,46.05
North,A,222,77.11
West,C,305,110.48
South,B,146,20.4
South,A,175,61.89
North,B,64,28.99
North,A,380,71.9
South,A,221,78.73
West,B,192,29.05
East,B,444,69.41
South,C,408,131.77
West,A,336,89.44
West,C,470,229.81
South,B,477,147.94
South,C,441,80.4
East,C,113,24.15
South,A,357,65.71
East,A,440,117.77
North,A,438,154.44
South,C,162,61.95
West,B,367,71.38
West,C,86,23.58
North,A,206,70.77
West,A,306,72.79
South,C,138,57.15
South,A,477,139.23
South,A,401,135.46
East,A,338,147.92
South,C,125,25.38
South,B,154,39.06
South,C,445,146.18
East,B,430,61.87
South,A,204,65.77
West,C,59,10.49
South,C,487,212.21
North,C,461,142.85
South,B,254,112.92
West,B,383,73.21
North,A,393,179.62
West,C,452,57.86
West,A,55,7.52
East,C,80,17.52
South,C,410,77.08
East,C,214,93.34
West,C,439,211.63
North,B,266,66.61
East,C,182,88.55
East,A,412,197.06
East,C,164,61.43
East,A,73,28.86
West,B,111,27.89
South,B,160,24.22
South,A,145,72.34
North,B,280,95.56
East,C,146,55.09
East,B,172,50.69
North,C,429,129.74
West,A,85,22.51
North,C,494,209.99
East,A,365,71.73
South,C,365,182.35
South,B,274,128.47
South,B,114,21.73
West,B,119,37.1
East,B,140,23.02
South,C,128,54.96
East,A,241,83.03
West,A,259,80.38
North,B,457,94.68
West,A,101,19.84
South,B,370,183.57
East,B,306,133.36
North,B,94,42.44
East,A,212,38.88
East,C,109,27.04
East,B,96,10.95
East,C,325,126.68
East,C,182,71.43
North,A,55,22.02
South,B,251,62.7
North,C,182,36.92
West,B,61,13.62
South,C,265,59.5
East,B,384,172.73
East,A,349,62.62
North,B,438,60.25
West,A,100,40.41
West,C,404,125.0
North,B,145,40.03
East,A,303,144.52
South,A,185,91.76
West,B,464,193.96
West,A,391,93.28
East,C,230,87.27
South,C,324,54.05
North,B,270,56.25
East,C,164,59.79
East,A,196,87.03
West,A,74,15.98
North,A,192,59.08
South,A,347,120.89
East,B,297,109.49
South,C,459,161.06
North,C,409,50.47
South,C,104,14.2
West,C,290,29.73
South,C,343,62.29
South,C,454,210.81
North,C,99,45.97
East,A,138,46.71
North,A,248,115.53
South,C,360,136.14
South,C,149,41.56
North,A,193,89.88
South,A,202,35.31
North,A,305,135.68
East,A,199,28.35
South,C,396,126.94
East,A,282,31.54
North,A,376,147.52
East,B,233,57.47
West,B,117,48.27
North,B,126,35.27
North,C,211,82.5
North,B,143,54.9
South,C,205,29.44
South,B,336,152.4
East,A,463,119.55
South,A,360,36.55
North,C,215,28.8
West,A,95,34.41
East,A,473,166.34
West,A,104,10.91
West,C,437,127.79
East,B,414,41.5
West,A,114,25.94
North,C,170,84.15
West,A,466,170.86
North,B,442,97.08
East,A,174,67.4
North,B,470,187.66
North,B,283,136.32
West,B,196,37.23
West,A,376,166.32
North,B,353,135.97
West,C,204,84.61
South,A,55,8.26
East,B,216,44.48
East,A,70,25.92
West,B,396,124.17
West,A,495,153.24
North,A,327,145.09
North,A,159,55.68
South,B,350,40.62
South,C,231,33.41
North,A,492,181.37
West,A,443,186.8
West,C,460,151.29
West,B,384,128.19
South,A,491,195.77
North,C,248,29.19
East,C,333,68.87
West,A,239,72.13
North,B,136,45.79
East,A,180,24.81
North,B,171,34.98
North,A,331,60.05
West,C,209,98.94
East,C,256,124.11
East,C,439,81.82
South,A,445,57.0
West,C,286,37.46
South,A,235,101.31
West,A,218,105.12
South,B,390,166.9
East,A,145,68.31
North,B,380,148.59
East,C,392,191.3
North,A,294,75.44
North,C,205,70.38
West,A,92,15.64
West,A,165,64.74
East,B,310,82.0
South,A,347,102.56
North,C,256,62.81
South,A,352,151.65
West,C,306,132.9
East,A,474,98.04
East,B,332,144.47
North,A,104,24.32
North,B,93,27.39
West,B,419,153.22
West,C,148,35.99
South,B,344,78.97
East,C,295,138.58
West,B,356,171.87
North,C,102,24.56
North,B,156,24.75
South,B,357,60.23
North,B,309,43.37
East,B,114,29.98
South,B,477,226.98
West,A,136,67.05
East,B,290,49.94
South,B,359,136.43
South,B,370,142.67
East,B,109,11.49
South,C,156,61.94
West,C,409,199.01
North,C,111,24.04
South,A,53,15.19
South,B,364,72.05
South,B,129,13.94
South,C,158,54.01
North,B,212,30.98
South,A,368,101.92
North,A,388,167.54
West,C,216,91.82
East,B,132,35.03
North,B,135,30.97
East,B,101,41.97
North,C,470,108.64
North,B,340,60.8
South,C,477,108.75
North,A,81,13.6
North,C,214,54.21
East,B,439,89.19
West,C,383,161.99
South,A,60,13.6
South,C,157,66.01
North,C,454,114.18
East,A,167,35.08
South,B,94,45.59
West,C,473,70.14
North,B,160,68.64
West,A,134,42.59
North,C,375,85.66
North,B,431,62.28
West,B,122,44.71
North,A,480,188.27
South,B,51,22.4
East,B,181,41.83
North,B,208,102.28
West,A,186,18.85
East,C,452,221.41
East,C,280,119.83
South,A,58,11.7
South,C,94,22.7
South,B,185,73.46
West,B,364,174.24
East,A,383,99.55
South,A,184,77.57
West,B,316,135.27
North,C,332,65.63
West,B,140,29.9
South,B,274,60.04
East,A,111,13.82
North,B,301,109.98
East,C,116,16.9
South,C,297,77.56
West,B,211,62.63
North,B,288,70.63
West,B,482,144.58
North,C,473,80.79
North,C,266,106.71
South,B,453,217.42
West,A,469,143.16
East,A,141,20.58
West,C,382,132.01
South,B,53,16.74
North,A,230,97.85
East,A,463,177.02
North,B,231,66.16
North,C,227,43.89
East,B,375,136.73
West,A,114,33.96
West,C,159,72.91
North,B,131,60.3
East,A,406,43.31
East,B,302,47.71
South,B,452,153.72
South,C,181,39.91
West,B,305,146.83
West,A,315,152.09
West,C,234,75.5
East,C,156,16.47
North,B,108,17.66
West,C,313,39.41
South,C,280,48.68
East,A,461,157.68
North,A,494,195.16
East,C,487,171.93
South,C,402,62.34
West,A,397,81.41
North,C,435,177.38
West,C,480,198.43
West,C,199,94.97
West,C,164,78.71
West,B,351,101.75
North,A,84,29.43
West,C,389,124.54
East,A,259,92.26
